0,Common Ostrich,2361
1,Somali Ostrich,395
2,Greater Rhea,2401
3,Lesser Rhea,962
4,Southern Brown Kiwi,75
5,North Island Brown Kiwi,111
6,Okarito Kiwi,32
7,Little Spotted Kiwi,81
8,Great Spotted Kiwi,76
9,Southern Cassowary,1805
10,Dwarf Cassowary,93
11,Northern Cassowary,215
12,Emu,2282
13,Grey Tinamou,132
14,Solitary Tinamou,192
15,Black Tinamou,43
16,Great Tinamou,1017
17,White-throated Tinamou,94
18,Highland Tinamou,52
19,Tawny-breasted Tinamou,25
20,Hooded Tinamou,37
21,Berlepsch's Tinamou,15
22,Cinereous Tinamou,103
23,Little Tinamou,202
24,Tepui Tinamou,15
25,Brown Tinamou,189
26,Undulated Tinamou,192
27,Pale-browed Tinamou,70
28,Brazilian Tinamou,13
29,Grey-legged Tinamou,17
30,Red-legged Tinamou,25
31,Yellow-legged Tinamou,75
32,Black-capped Tinamou,35
33,Thicket Tinamou,92
34,Slaty-breasted Tinamou,48
35,Choco Tinamou,8
36,Variegated Tinamou,77
37,Rusty Tinamou,8
38,Bartlett's Tinamou,8
39,Small-billed Tinamou,124
40,Barred Tinamou,10
41,Tataupa Tinamou,107
42,Red-winged Tinamou,258
43,Huayco Tinamou,24
44,Taczanowski's Tinamou,11
45,Ornate Tinamou,143
46,Chilean Tinamou,172
47,Brushland Tinamou,88
48,Andean Tinamou,110
49,Curve-billed Tinamou,32
50,White-bellied Nothura,78
51,Lesser Nothura,23
52,Darwin's Nothura,64
53,Spotted Nothura,390
55,Dwarf Tinamou,13
56,Elegant Crested Tinamou,488
57,Quebracho Crested Tinamou,41
58,Puna Tinamou,123
59,Patagonian Tinamou,67
60,Horned Screamer,1166
61,Northern Screamer,352
62,Southern Screamer,2578
63,Magpie Goose,2399
64,White-faced Whistling Duck,2882
65,Black-bellied Whistling Duck,2849
66,Spotted Whistling Duck,395
67,West Indian Whistling Duck,786
68,Fulvous Whistling Duck,2207
69,Plumed Whistling Duck,1263
70,Wandering Whistling Duck,1174
71,Lesser Whistling Duck,2153
72,White-backed Duck,375
73,Cape Barren Goose,1652
74,Brant Goose,1883
75,Red-breasted Goose,1513
76,Nene,2598
77,Canada Goose,2904
78,Barnacle Goose,2572
79,Cackling Goose,2295
80,Bar-headed Goose,2744
81,Emperor Goose,778
82,Ross's Goose,892
83,Snow Goose,1908
84,Greylag Goose,2528
85,Swan Goose,1960
86,Taiga Bean Goose,1510
87,Pink-footed Goose,2283
88,Tundra Bean Goose,808
89,Greater White-fronted Goose,2613
90,Lesser White-fronted Goose,919
91,Coscoroba Swan,2256
92,Black Swan,2924
93,Black-necked Swan,2256
94,Mute Swan,2943
95,Trumpeter Swan,2953
96,Tundra Swan,2627
97,Whooper Swan,2636
98,Freckled Duck,1204
99,Blue Duck,732
100,Flying Steamer Duck,917
101,Fuegian Steamer Duck,817
102,Falkland Steamer Duck,470
103,Chubut Steamer Duck,90
104,Torrent Duck,1608
105,Spur-winged Goose,1107
106,Comb Duck,323
107,Knob-billed Duck,1456
108,Blue-winged Goose,473
109,Egyptian Goose,3467
110,Mauritius Sheldgoose,1
111,Reunion Sheldgoose,30
112,Orinoco Goose,761
113,Andean Goose,1379
114,Upland Goose,2726
115,Kelp Goose,1211
116,Ashy-headed Goose,857
117,Ruddy-headed Goose,695
118,Raja Shelduck,492
119,Common Shelduck,2899
120,Ruddy Shelduck,3159
121,South African Shelduck,673
122,Australian Shelduck,1330
123,Paradise Shelduck,1532
124,Crested Shelduck,27
125,Pink-eared Duck,1372
126,Salvadori's Teal,40
127,Muscovy Duck,2991
